InventoryIndex,DemandIndex,ForecastIndex,ActionIndex,QValue
0,4,7,5,[ 0.          0.          0.          0.          0.         79.84721908]
0,5,0,0,[53.75115243  0.          0.          0.          0.          0.        ]
0,5,0,1,[ 0.        57.5396236  0.         0.         0.         0.       ]
0,5,0,2,[ 0.          0.         61.60251022  0.          0.          0.        ]
0,5,0,3,[ 0.          0.          0.         64.80757488  0.          0.        ]
0,5,0,4,[ 0.          0.          0.          0.         64.29407055  0.        ]
0,5,0,5,[ 0.          0.          0.          0.          0.         68.33622312]
0,5,1,0,[53.6825498  0.         0.         0.         0.         0.       ]
0,5,1,1,[ 0.         57.57472387  0.          0.          0.          0.        ]
0,5,1,2,[ 0.          0.         61.18797883  0.          0.          0.        ]
0,5,1,3,[ 0.          0.          0.         65.92063603  0.          0.        ]
0,5,1,4,[ 0.          0.          0.          0.         67.24973269  0.        ]
0,5,1,5,[ 0.          0.          0.          0.          0.         65.46626717]
0,5,2,0,[53.85876213  0.          0.          0.          0.          0.        ]
0,5,2,1,[ 0.         57.75510071  0.          0.          0.          0.        ]
0,5,2,2,[ 0.          0.         61.78942574  0.          0.          0.        ]
0,5,2,3,[ 0.         0.         0.        64.6948494  0.         0.       ]
0,5,2,4,[ 0.          0.          0.          0.         66.37998376  0.        ]
0,5,2,5,[ 0.          0.          0.          0.          0.         65.34158866]
0,5,3,0,[53.64336699  0.          0.          0.          0.          0.        ]
0,5,3,1,[ 0.         57.62451237  0.          0.          0.          0.        ]
0,5,3,2,[ 0.          0.         61.70579946  0.          0.          0.        ]
0,5,3,3,[ 0.          0.          0.         64.73386111  0.          0.        ]
0,5,3,4,[ 0.         0.         0.         0.        67.8063843  0.       ]
0,5,3,5,[ 0.         0.         0.         0.         0.        68.5614391]
0,5,4,0,[53.78024433  0.          0.          0.          0.          0.        ]
0,5,4,1,[ 0.         57.78611774  0.          0.          0.          0.        ]
0,5,4,2,[ 0.          0.         61.97628027  0.          0.          0.        ]
0,5,4,3,[ 0.          0.          0.         65.57891681  0.          0.        ]
0,5,4,4,[ 0.         0.         0.         0.        66.5449595  0.       ]
0,5,4,5,[ 0.          0.          0.          0.          0.         67.71207677]
0,5,5,0,[53.66236968  0.          0.          0.          0.          0.        ]
0,5,5,1,[ 0.         58.13347967  0.          0.          0.          0.        ]
0,5,5,2,[ 0.          0.         61.89689408  0.          0.          0.        ]
0,5,5,3,[ 0.          0.          0.         64.22981809  0.          0.        ]
0,5,5,4,[ 0.          0.          0.          0.         68.56725731  0.        ]
0,5,5,5,[ 0.          0.          0.          0.          0.         68.09015591]
0,5,6,0,[55.0784817  0.         0.         0.         0.         0.       ]
0,5,6,1,[ 0.         57.61395135  0.          0.          0.          0.        ]
0,5,6,2,[ 0.          0.         61.49453036  0.          0.          0.        ]
0,5,6,3,[ 0.          0.          0.         65.65351937  0.          0.        ]
0,5,6,4,[ 0.          0.          0.          0.         65.20719454  0.        ]
0,5,6,5,[ 0.          0.          0.          0.          0.         65.35465881]
0,5,7,0,[54.0277467  0.         0.         0.         0.         0.       ]
0,5,7,1,[ 0.        57.8782673  0.         0.         0.         0.       ]
0,5,7,2,[ 0.          0.         61.57578954  0.          0.          0.        ]
0,5,7,3,[ 0.          0.          0.         63.40194449  0.          0.        ]
0,5,7,4,[ 0.          0.          0.          0.         68.25556626  0.        ]
0,5,7,5,[ 0.          0.          0.          0.          0.         69.29459131]
0,6,0,0,[58.60994135  0.          0.          0.          0.          0.        ]
0,6,0,1,[ 0.         62.69756087  0.          0.          0.          0.        ]
0,6,0,2,[ 0.          0.         65.98613344  0.          0.          0.        ]
0,6,0,3,[ 0.         0.         0.        69.1489035  0.         0.       ]
0,6,0,4,[ 0.          0.          0.          0.         72.24131901  0.        ]
0,6,0,5,[ 0.          0.          0.          0.          0.         70.10077765]
0,6,1,0,[58.47491478  0.          0.          0.          0.          0.        ]
0,6,1,1,[ 0.         62.81339521  0.          0.          0.          0.        ]
0,6,1,2,[ 0.          0.         66.62349728  0.          0.          0.        ]
0,6,1,3,[ 0.          0.          0.         70.14982051  0.          0.        ]
0,6,1,4,[ 0.          0.          0.          0.         73.32247434  0.        ]
0,6,1,5,[ 0.          0.          0.          0.          0.         75.38783488]
0,6,2,0,[58.69655077  0.          0.          0.          0.          0.        ]
0,6,2,1,[ 0.         62.69357105  0.          0.          0.          0.        ]
0,6,2,2,[ 0.          0.         65.41868458  0.          0.          0.        ]
0,6,2,3,[ 0.          0.          0.         69.00712748  0.          0.        ]
0,6,2,4,[ 0.          0.          0.          0.         74.20641331  0.        ]
0,6,2,5,[ 0.          0.          0.          0.          0.         72.58580068]
0,6,3,0,[58.82798095  0.          0.          0.          0.          0.        ]
0,6,3,1,[ 0.        62.6996525  0.         0.         0.         0.       ]
0,6,3,2,[ 0.          0.         66.73370886  0.          0.          0.        ]
0,6,3,3,[ 0.          0.          0.         70.36751785  0.          0.        ]
0,6,3,4,[ 0.          0.          0.          0.         73.16452404  0.        ]
0,6,3,5,[ 0.          0.          0.          0.          0.         72.29454874]
0,6,4,0,[58.84098097  0.          0.          0.          0.          0.        ]
0,6,4,1,[ 0.         62.70596159  0.          0.          0.          0.        ]
0,6,4,2,[ 0.          0.         66.51784313  0.          0.          0.        ]
0,6,4,3,[ 0.          0.          0.         70.24445718  0.          0.        ]
0,6,4,4,[ 0.          0.          0.          0.         72.52840624  0.        ]
0,6,4,5,[ 0.          0.          0.          0.          0.         73.40206632]
0,6,5,0,[58.60086281  0.          0.          0.          0.          0.        ]
0,6,5,1,[ 0.         62.87373947  0.          0.          0.          0.        ]
0,6,5,2,[ 0.          0.         66.46883614  0.          0.          0.        ]
0,6,5,3,[ 0.          0.          0.         70.56783126  0.          0.        ]
0,6,5,4,[ 0.          0.          0.          0.         73.74995524  0.        ]
0,6,5,5,[ 0.          0.          0.          0.          0.         71.96579966]
0,6,6,0,[59.0734464  0.         0.         0.         0.         0.       ]
0,6,6,1,[ 0.        62.7884113  0.         0.         0.         0.       ]
0,6,6,2,[ 0.          0.         66.46746453  0.          0.          0.        ]
0,6,6,3,[ 0.          0.          0.         70.48775141  0.          0.        ]
0,6,6,4,[ 0.          0.          0.          0.         69.19027875  0.        ]
0,6,6,5,[ 0.          0.          0.          0.          0.         77.24790524]
0,6,7,0,[58.91799238  0.          0.          0.          0.          0.        ]
0,6,7,1,[ 0.         62.70135608  0.          0.          0.          0.        ]
0,6,7,2,[ 0.          0.         66.77552614  0.          0.          0.        ]
0,6,7,3,[ 0.          0.          0.         69.11995529  0.          0.        ]
0,6,7,4,[ 0.          0.          0.          0.         68.57400344  0.        ]
0,6,7,5,[ 0.          0.          0.          0.          0.         71.12254623]
0,7,0,0,[63.93089137  0.          0.          0.          0.          0.        ]
0,7,0,1,[ 0.         67.89586758  0.          0.          0.          0.        ]
0,7,0,2,[ 0.         0.        70.6470097  0.         0.         0.       ]
0,7,0,3,[ 0.          0.          0.         75.34071163  0.          0.        ]
0,7,0,4,[ 0.          0.          0.          0.         78.10631021  0.        ]
0,7,0,5,[ 0.         0.         0.         0.         0.        75.1962111]
0,7,1,0,[64.06811701  0.          0.          0.          0.          0.        ]
0,7,1,1,[ 0.         67.75470262  0.          0.          0.          0.        ]
0,7,1,2,[ 0.          0.         72.66343641  0.          0.          0.        ]
0,7,1,3,[ 0.          0.          0.         75.35480104  0.          0.        ]
0,7,1,4,[ 0.          0.          0.          0.         76.10300493  0.        ]
0,7,1,5,[ 0.          0.          0.          0.          0.         80.94034747]
0,7,2,0,[63.81146853  0.          0.          0.          0.          0.        ]
0,7,2,1,[ 0.         67.87971917  0.          0.          0.          0.        ]
0,7,2,2,[ 0.          0.         71.59410378  0.          0.          0.        ]
0,7,2,3,[ 0.          0.          0.         74.13252346  0.          0.        ]
0,7,2,4,[ 0.          0.          0.          0.         77.86484584  0.        ]
0,7,2,5,[ 0.          0.          0.          0.          0.         77.79190261]
0,7,3,0,[63.62853512  0.          0.          0.          0.          0.        ]
0,7,3,1,[ 0.        67.6653204  0.         0.         0.         0.       ]
0,7,3,2,[ 0.          0.         71.65895577  0.          0.          0.        ]
0,7,3,3,[ 0.         0.         0.        74.7000868  0.         0.       ]
0,7,3,4,[ 0.          0.          0.          0.         77.14700405  0.        ]
0,7,3,5,[ 0.          0.          0.          0.          0.         78.72633874]
0,7,4,0,[63.7948852  0.         0.         0.         0.         0.       ]
0,7,4,1,[ 0.         67.30009766  0.          0.          0.          0.        ]
0,7,4,2,[ 0.          0.         72.17057628  0.          0.          0.        ]
0,7,4,3,[ 0.          0.          0.         75.55673472  0.          0.        ]
0,7,4,4,[ 0.          0.          0.          0.         76.97910461  0.        ]
0,7,4,5,[ 0.          0.          0.          0.          0.         77.18818652]
0,7,5,0,[64.98127356  0.          0.          0.          0.          0.        ]
0,7,5,1,[ 0.         67.98892937  0.          0.          0.          0.        ]
0,7,5,2,[ 0.          0.         71.53192076  0.          0.          0.        ]
0,7,5,3,[ 0.          0.          0.         75.49218816  0.          0.        ]
0,7,5,4,[ 0.          0.          0.          0.         76.84954599  0.        ]
0,7,5,5,[ 0.          0.          0.          0.          0.         77.40919938]
0,7,6,0,[63.69057439  0.          0.          0.          0.          0.        ]
0,7,6,1,[ 0.         67.97929879  0.          0.          0.          0.        ]
0,7,6,2,[ 0.          0.         71.45674449  0.          0.          0.        ]
0,7,6,3,[ 0.          0.          0.         75.54491699  0.          0.        ]
0,7,6,4,[ 0.          0.          0.          0.         77.27507717  0.        ]
0,7,6,5,[ 0.          0.          0.          0.          0.         74.81783309]
0,7,7,0,[64.09134195  0.          0.          0.          0.          0.        ]
0,7,7,1,[ 0.         67.72589135  0.          0.          0.          0.        ]
0,7,7,2,[ 0.          0.         71.99294976  0.          0.          0.        ]
0,7,7,3,[ 0.          0.          0.         75.51032781  0.          0.        ]
0,7,7,4,[ 0.          0.          0.          0.         76.56189998  0.        ]
0,7,7,5,[ 0.         0.         0.         0.         0.        80.1288745]
1,0,0,0,[69.77949  0.       0.       0.       0.       0.     ]
1,0,0,1,[ 0.         84.31678829  0.          0.          0.          0.        ]
1,0,0,2,"[  0.           0.         101.45663652   0.           0.
   0.        ]"
1,0,0,3,"[  0.           0.           0.         104.46059493   0.
   0.        ]"
1,0,0,4,"[  0.           0.           0.           0.         113.04646057
   0.        ]"
1,0,0,5,"[  0.           0.           0.           0.           0.
 130.00885569]"
1,0,1,0,[69.322158  0.        0.        0.        0.        0.      ]
1,0,1,1,[ 0.         83.59004143  0.          0.          0.          0.        ]
1,0,1,2,[ 0.          0.         96.97273774  0.          0.          0.        ]
1,0,1,3,"[  0.           0.           0.         105.38288269   0.
   0.        ]"
1,0,1,4,[  0.          0.          0.          0.        113.0693274   0.       ]
1,0,1,5,"[  0.           0.           0.           0.           0.
 113.28543134]"
1,0,2,0,[68.17693082  0.          0.          0.          0.          0.        ]
1,0,2,1,[ 0.         82.68584847  0.          0.          0.          0.        ]
1,0,2,2,[ 0.         0.        97.8001906  0.         0.         0.       ]
1,0,2,3,"[  0.           0.           0.         105.07798068   0.
   0.        ]"
1,0,2,4,"[  0.           0.           0.           0.         115.70174369
   0.        ]"
